tpep_pickup_datetime,tpep_dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
00:15.0,24:23.0,40.76604843,-73.98699951,40.71969986,-74.00509644
00:16.0,15:17.0,40.72890854,-73.99046326,40.76338577,-73.96128845
00:16.0,05:40.0,40.76657104,-73.99420929,40.75967789,-73.9956131
00:16.0,08:27.0,40.74232101,-74.00640869,40.72976685,-74.01041412
00:16.0,06:48.0,40.74205017,-74.0038681,40.75006866,-73.99147034
00:16.0,09:00.0,40.79222107,-73.96433258,40.80670166,-73.93697357
00:16.0,02:25.0,40.7818718,-73.98088074,40.78914642,-73.97454071
00:16.0,05:46.0,40.74390411,-73.98898315,40.75182343,-73.97706604
00:16.0,11:06.0,40.75302124,-73.97792053,40.78048325,-73.94979858
00:17.0,04:54.0,40.75056839,-73.99098206,40.75999832,-73.99515533
00:17.0,06:58.0,40.73960876,-73.98960876,40.72951126,-73.97827148
00:17.0,05:29.0,40.74601746,-73.98809052,40.75783157,-73.97566986
00:17.0,22:58.0,40.72026062,-73.99806976,40.66763306,-73.99007416
00:17.0,04:39.0,40.72874832,-74.00493622,40.74111557,-74.00151062
00:18.0,19:20.0,40.7178688,-73.9854126,40.75944138,-73.9730072
00:18.0,10:22.0,40.76836014,-73.98876953,40.75698853,-73.96982574
00:18.0,07:23.0,40.7416687,-73.99311066,40.74446869,-73.97621918
00:18.0,11:49.0,40.73477936,-73.99954224,40.74460983,-73.9756012
00:18.0,12:06.0,40.73897552,-73.97946167,40.74987411,-74.00257874
00:18.0,16:11.0,40.74073029,-73.99020386,40.76099014,-73.998703
00:18.0,28:03.0,40.71602249,-73.98648071,40.63631821,-73.97090149
00:18.0,12:45.0,40.72372818,-73.98532867,40.73314285,-74.00305176
00:18.0,10:01.0,40.73160553,-73.99015808,40.75048447,-73.97390747
00:18.0,21:36.0,40.73328018,-73.99685669,40.76662827,-73.95300293
00:18.0,28:14.0,40.73371506,-73.9878006,40.71247101,-73.95981598
00:19.0,02:34.0,40.75614166,-73.9832077,40.76332855,-73.98636627
00:19.0,10:36.0,40.71099854,-74.01602173,40.7235527,-74.00427246
00:19.0,08:37.0,40.8035965,-73.96730804,40.78250122,-73.98442841
00:19.0,05:02.0,40.75936127,-73.9881134,40.75701141,-73.98675537
00:19.0,25:52.0,40.6470108,-73.7899704,-73.94084167,NULL
00:19.0,11:19.0,40.71650696,-73.95711517,40.70809555,-73.96595001
