vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
VTS,5/15/11 21:40,5/15/11 21:59,1,5.23,-73.95444,40.774242,1,,-74.005688,40.734555,CRD,14.5,0.5,0.5,1.75,0,17.25
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:16,5/13/11 0:29,1,3.4,-73.992161,40.72908,1,N,-73.955996,40.716729,CRD,11.3,0.5,0.5,3.69,0,15.99
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:36,5/13/11 0:53,1,4.7,-73.99183,40.754774,1,N,-73.952565,40.803011,CRD,13.3,0.5,0.5,3,0,17.3
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:16,5/13/11 0:25,1,1.6,-73.971563,40.757826,1,N,-73.99071,40.756167,CRD,6.9,0.5,0.5,1.97,0,9.87
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:17,5/13/11 0:23,1,1.6,-73.967737,40.75604,1,N,-73.987822,40.749111,CRD,6.1,0.5,0.5,1.42,0,8.52
,,,,,,,,,,,,,,,,,
CMT,5/14/11 15:09,5/14/11 15:48,1,16.8,-73.801045,40.670813,2,N,-73.970648,40.798423,CRD,45,0,0.5,5,4.8,55.3
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:50,5/15/11 13:02,1,4.11,-74.003112,40.708227,1,,-73.986507,40.739985,CRD,12.1,0,0.5,2,0,14.6
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:09,5/15/11 13:01,2,17.93,-73.80705,40.65817,2,,-74.006033,40.727093,CSH,45,0,0.5,0,0,45.5
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:47,5/15/11 12:51,1,1.2,-73.995683,40.759803,1,,-74.003883,40.748427,CRD,4.9,0,0.5,1.6,0,7
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:36,5/15/11 12:57,1,4.02,-73.96586,40.800543,1,,-73.977815,40.753158,CRD,14.1,0,0.5,2,0,16.6
,,,,,,,,,,,,,,,,,
CMT,5/13/11 23:30,5/13/11 23:48,1,5,-73.975049,40.74977,1,N,-73.954067,40.808732,CRD,14.5,0.5,0.5,3.1,0,18.6
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:49,5/15/11 13:05,1,8.27,-73.966043,40.760572,5,,-73.846543,40.73867,CRD,69.5,0,0.5,0,0,70
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:54,5/15/11 13:02,1,1.68,-74.007195,40.715647,1,,-74.001947,40.738095,CSH,6.9,0,0.5,0,0,7.4
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:46,5/15/11 12:59,1,1.1,-73.960752,40.77244,1,,-73.965333,40.759547,CSH,7.7,0,0.5,0,0,8.2
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:46,5/15/11 12:58,1,4.91,-73.980413,40.752307,1,,-74.003835,40.706312,CSH,13.7,0,0.5,0,0,14.2
,,,,,,,,,,,,,,,,,
CMT,5/12/11 19:54,5/12/11 19:57,1,0.5,-73.985507,40.723259,1,N,-73.994401,40.727698,CRD,3.7,0.5,0.5,0.94,0,5.64
,,,,,,,,,,,,,,,,,
CMT,5/12/11 16:22,5/12/11 16:26,1,1.2,-73.965661,40.762141,1,N,-73.953954,40.775595,CRD,4.9,1,0.5,1,0,7.4
,,,,,,,,,,,,,,,,,
CMT,5/12/11 16:24,5/12/11 16:29,1,0.5,-73.980031,40.771295,1,N,-73.979324,40.766703,CRD,4.5,1,0.5,1,0,7
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:54,5/15/11 12:56,1,0.72,-73.986103,40.734688,1,,-73.979583,40.743637,CRD,3.7,0,0.5,1.3,0,5.5
,,,,,,,,,,,,,,,,,
CMT,5/12/11 16:10,5/12/11 16:33,0,3.5,-73.968078,40.800685,1,N,-73.979558,40.754655,CRD,14.5,1,0.5,1,0,17
